respondent_id,persona,age_group,gender,city_tier,occupation,monthly_income_band,fashion_identity,style_primary,style_secondary,purchase_influence,sustainability_score,shop_frequency,monthly_fashion_spend,max_outfit_spend,mystery_box_wtp,discount_sensitivity,clothing_oversized_tees,clothing_baggy_jeans,clothing_coords_sets,clothing_dresses_skirts,clothing_jackets_blazers,clothing_kurtis_ethnic,clothing_cargo_joggers,clothing_crop_tops,colour_neutrals,colour_earthy_tones,colour_pastels,colour_bold_neon,colour_vintage_washed,colour_prints_patterns,colour_monochrome,accessory_bags_totes,accessory_jewellery,accessory_belts_clips,accessory_caps_hats,accessory_sunglasses,upcycle_interest,bundle_preference,occasion_festivals,occasion_everyday_casual,occasion_college_work,occasion_weddings_events,occasion_travel,occasion_gifting,prior_thrift_experience,top_concern,discovery_channel,purchase_motivator,digital_trust_score,size_confidence,ugc_propensity,return_policy_sensitivity,subscription_intent,gifting_behaviour,purchase_intent
11,Aesthetic Chaser,23-27,Female,Metro,Student,Below 10k,Fashion as self-expression,Streetwear,Y2K / Retro,Social media trends,2,Once every 2-3 months,Above 5000,300-700,Would not buy,Likely yes,1,1,0,0,0,1,1,0,1.0,1,0.0,0,0,1,0,1,0,1,0,0.0,Interested if priced right,Sometimes if it appeals,0,1,0,0,1.0,0,Yes a few times,Hygiene/Cleanliness,WhatsApp drops,Great curation,Clear size guide and photos,Unsure - it concerns me,Engage but rarely post,Comfortable with it,Maybe after first box,Yes frequently,Interested
12,Skeptic,28-34,Female,Metro,Working professional,Below 10k,Dress for comfort/practicality,Minimal / Clean girl,Y2K / Retro,Sustainability,1,Once every 2-3 months,2500-5000,300-700,1200-1800,Definitely yes,1,0,1,1,1,0,0,1,0.0,0,0.0,0,0,0,1,0,1,0,0,0.0,Very interested,Sometimes if it appeals,0,0,0,0,0.0,0,No but open,Hygiene/Cleanliness,YouTube hauls,Easy returns,Reviews and tagged photos,Unsure - it concerns me,No,Makes me hesitate,No interest,Rarely,Interested
13,Fence-Sitter,18-22,Female,Metro,Student,25k-50k,Follow trends to fit in,Sporty / Athleisure,None,Price/Affordability,3,Once every 2-3 months,2500-5000,300-700,800-1200,Likely yes,1,1,0,0,1,0,1,0,1.0,0,1.0,1,1,1,0,1,0,1,1,1.0,Very interested,Prefer complete looks,1,1,1,0,0.0,1,No but open,No major concerns,Website/Online store,Unique pieces,Clear size guide and photos,Not confident at all,No,Makes me hesitate,No interest,Yes frequently,Maybe
14,Aesthetic Chaser,18-22,Female,Metro,Working professional,10k-25k,Fashion as self-expression,Y2K / Retro,Streetwear,Social media trends,3,Few times a year,2500-5000,Under 300,1200-1800,Unsure,0,1,1,1,1,0,1,1,0.0,0,1.0,0,0,0,0,0,0,1,1,1.0,Very interested,Prefer complete looks,0,1,1,1,0.0,0,Yes a few times,Limited style options,Instagram/Reels,Great curation,COD/Easy return,Somewhat confident,Occasionally,Comfortable with it,Prefer one-off,Yes frequently,Interested
15,Aesthetic Chaser,18-22,Female,Metro,Student,Below 10k,Buy what is affordable,Streetwear,Sporty / Athleisure,Brand reputation,3,Multiple times a month,1000-2500,1500-3000,800-1200,Likely yes,1,1,1,0,1,1,0,0,0.0,0,1.0,0,1,0,0,0,0,0,1,1.0,Interested if priced right,Prefer complete looks,0,0,1,0,0.0,0,No and unlikely,Size availability,YouTube hauls,Unique pieces,Reviews and tagged photos,Somewhat confident,Occasionally,Makes me hesitate,Prefer one-off,Rarely,Interested
16,Aesthetic Chaser,23-27,Female,Metro,Student,10k-25k,Buy what is affordable,Y2K / Retro,None,Social media trends,2,Once every 2-3 months,2500-5000,300-700,800-1200,Definitely yes,1,0,1,1,1,0,0,1,0.0,0,1.0,0,0,0,0,1,0,1,0,1.0,Interested if priced right,Prefer complete looks,1,0,1,0,1.0,1,Yes regularly,Quality/Wear and tear,Pop-up events,Great curation,Follower count/Brand credibility,Somewhat confident,Occasionally,Comfortable with it,Maybe after first box,Rarely,Interested
17,Conscious Spender,23-27,Female,Tier 2,Homemaker,50k-1L,Dress for comfort/practicality,Cottagecore / Boho,Dark academia,Brand reputation,1,Once every 2-3 months,1000-2500,700-1500,Would not buy,Likely yes,1,1,0,1,0,0,0,1,0.0,0,0.0,1,0,1,0,1,1,1,0,1.0,Interested if priced right,Sometimes if it appeals,1,0,1,1,1.0,1,Yes regularly,No major concerns,Word of mouth,Low prices,COD/Easy return,Unsure - it concerns me,No,Makes me hesitate,Maybe after first box,Yes occasionally,Interested
18,Bargain Hunter,18-22,Female,Tier 3 / Small town,Working professional,50k-1L,Dress for comfort/practicality,Streetwear,None,Brand reputation,1,Once every 2-3 months,1000-2500,Under 300,800-1200,Likely yes,0,1,1,0,1,0,0,1,1.0,0,0.0,0,0,0,0,1,0,0,0,,Interested if priced right,Prefer to mix myself,1,1,1,0,,0,No but open,Size availability,YouTube hauls,Low prices,Clear size guide and photos,Somewhat confident,No,Comfortable with it,Maybe after first box,Yes frequently,Interested
19,Conscious Spender,28-34,Female,Tier 2,Homemaker,25k-50k,Follow trends to fit in,Cottagecore / Boho,None,Brand reputation,4,Multiple times a month,2500-5000,1500-3000,Would not buy,Definitely yes,0,0,0,1,0,1,0,1,0.0,0,0.0,0,0,1,0,0,1,0,1,0.0,Very interested,Sometimes if it appeals,1,1,1,0,1.0,1,No but open,Quality/Wear and tear,WhatsApp drops,Unique pieces,Clear size guide and photos,Very confident,Occasionally,Depends on price,Prefer one-off,Rarely,Interested
20,Conscious Spender,23-27,Male,Metro,Working professional,25k-50k,Dress for comfort/practicality,Dark academia,Y2K / Retro,Brand reputation,1,Rarely,1000-2500,1500-3000,1200-1800,Unsure,0,1,0,1,1,0,1,1,0.0,0,0.0,1,1,0,1,1,0,0,0,1.0,Very interested,No preference,1,1,0,0,1.0,0,No but open,No major concerns,YouTube hauls,Great curation,Reviews and tagged photos,Not confident at all,Engage but rarely post,Depends on price,Maybe after first box,Yes occasionally,Maybe
21,Bargain Hunter,23-27,Male,Tier 2,Student,10k-25k,Follow trends to fit in,Minimal / Clean girl,None,Price/Affordability,4,Once a month,1000-2500,1500-3000,Under 500,Definitely yes,0,1,0,0,1,0,0,0,1.0,0,0.0,0,1,0,1,1,0,0,1,1.0,Interested if priced right,Prefer complete looks,1,1,1,0,0.0,0,Yes regularly,No major concerns,Pop-up events,Easy returns,COD/Easy return,Not confident at all,Engage but rarely post,Yes would stop me,Prefer one-off,Rarely,Interested
22,Aesthetic Chaser,Under 18,Female,Tier 2,Working professional,10k-25k,Fashion as self-expression,Y2K / Retro,None,Sustainability,4,Once a month,1000-2500,300-700,1200-1800,Likely yes,1,0,0,1,0,0,0,1,1.0,0,1.0,1,0,1,0,0,0,1,1,1.0,Very interested,Prefer complete looks,0,0,0,0,1.0,0,Yes a few times,Quality/Wear and tear,Instagram/Reels,Sustainability,Clear size guide and photos,Somewhat confident,Engage but rarely post,Comfortable with it,Maybe after first box,Never,Interested
23,Conscious Spender,35-44,Female,Metro,Working professional,Above 1L,Avoid fast fashion actively,Streetwear,Formal / Classic,Brand reputation,2,Once a month,Above 5000,1500-3000,Would not buy,Probably not,0,1,0,1,0,0,0,1,1.0,1,1.0,0,0,0,1,1,1,1,0,1.0,Interested if priced right,Prefer complete looks,1,1,1,1,1.0,0,Yes a few times,Quality/Wear and tear,Word of mouth,Sustainability,Clear size guide and photos,Somewhat confident,Occasionally,Comfortable with it,Prefer one-off,Rarely,Interested
24,Conscious Spender,23-27,Male,Tier 2,Working professional,10k-25k,Avoid fast fashion actively,Streetwear,Formal / Classic,Social media trends,2,Once a month,2500-5000,Above 3000,800-1200,Unsure,1,1,0,1,1,0,0,0,1.0,1,0.0,1,0,0,0,1,1,0,1,1.0,Curious but unsure,Prefer to mix myself,0,1,1,0,0.0,1,Yes regularly,No major concerns,WhatsApp drops,Sustainability,Follower count/Brand credibility,Very confident,Engage but rarely post,Yes would stop me,Maybe after first box,Rarely,Maybe
25,Conscious Spender,23-27,Prefer not to say,Metro,Working professional,10k-25k,Dress for comfort/practicality,Minimal / Clean girl,Y2K / Retro,Brand reputation,1,Once every 2-3 months,2500-5000,1500-3000,Under 500,Likely yes,0,0,1,0,0,0,1,0,1.0,0,0.0,0,0,1,0,0,0,1,1,0.0,Curious but unsure,Prefer to mix myself,0,1,1,0,1.0,0,Yes regularly,Size availability,Website/Online store,Low prices,Reviews and tagged photos,Somewhat confident,Occasionally,Makes me hesitate,Maybe after first box,Never,Maybe
26,Fence-Sitter,18-22,Male,Metro,Self-employed/Freelancer,25k-50k,Avoid fast fashion actively,Streetwear,None,Price/Affordability,4,Once every 2-3 months,500-1000,300-700,500-800,Unsure,1,1,1,0,0,0,0,1,1.0,0,0.0,1,1,1,1,0,1,0,1,0.0,Interested if priced right,No preference,0,1,0,0,0.0,0,No but open,Quality/Wear and tear,Instagram/Reels,Great curation,Follower count/Brand credibility,Somewhat confident,No,Comfortable with it,No interest,Never,Interested
27,Aesthetic Chaser,18-22,Female,Metro,Student,Below 10k,Fashion as self-expression,Cottagecore / Boho,None,Social media trends,3,Multiple times a month,Under 500,1500-3000,800-1200,Unsure,1,0,0,1,0,0,0,0,0.0,0,1.0,0,1,1,0,0,0,1,0,1.0,Not interested,No preference,0,0,1,0,1.0,0,Yes a few times,Limited style options,Instagram/Reels,Social proof,Reviews and tagged photos,Somewhat confident,Occasionally,Comfortable with it,Prefer one-off,Yes occasionally,Interested
28,Bargain Hunter,18-22,Female,Tier 3 / Small town,Student,10k-25k,Buy what is affordable,Y2K / Retro,Streetwear,Sustainability,3,Once every 2-3 months,1000-2500,700-1500,Would not buy,Definitely yes,1,1,1,0,1,0,0,1,0.0,1,1.0,1,1,0,0,0,0,1,0,0.0,Interested if priced right,Prefer to mix myself,1,1,0,1,0.0,0,No and unlikely,Quality/Wear and tear,Pop-up events,Great curation,Clear size guide and photos,Very confident,No,Comfortable with it,No interest,Never,Interested
29,Bargain Hunter,Under 18,Female,Metro,Student,Below 10k,Dress for comfort/practicality,Streetwear,Minimal / Clean girl,Price/Affordability,2,Rarely,1000-2500,1500-3000,500-800,Definitely yes,0,1,1,0,1,0,1,0,1.0,1,0.0,1,1,0,1,1,0,1,1,0.0,Very interested,Sometimes if it appeals,1,1,1,1,0.0,1,Yes a few times,Quality/Wear and tear,Pop-up events,Great curation,Clear size guide and photos,Somewhat confident,Engage but rarely post,Makes me hesitate,Prefer one-off,Never,Interested
30,Aesthetic Chaser,18-22,Male,Tier 3 / Small town,Self-employed/Freelancer,10k-25k,Fashion as self-expression,Streetwear,None,Price/Affordability,3,Once every 2-3 months,1000-2500,1500-3000,800-1200,Likely yes,1,0,1,1,0,0,1,0,1.0,0,1.0,0,1,0,1,0,1,1,1,1.0,Curious but unsure,Prefer complete looks,0,0,1,1,1.0,0,Yes a few times,Hygiene/Cleanliness,WhatsApp drops,Unique pieces,COD/Easy return,Very confident,Occasionally,Makes me hesitate,Maybe after first box,Never,Interested
31,Bargain Hunter,18-22,Female,Metro,Self-employed/Freelancer,25k-50k,Dress for comfort/practicality,Sporty / Athleisure,Streetwear,Price/Affordability,3,Multiple times a month,500-1000,1500-3000,Under 500,Definitely yes,1,1,0,0,0,0,1,0,1.0,0,0.0,0,1,0,1,1,1,0,1,0.0,Not interested,Sometimes if it appeals,1,1,1,0,0.0,0,Yes a few times,Hygiene/Cleanliness,WhatsApp drops,Low prices,Reviews and tagged photos,Unsure - it concerns me,Occasionally,Makes me hesitate,Maybe after first box,Yes occasionally,Interested
32,Aesthetic Chaser,18-22,Male,Metro,Working professional,Below 10k,Follow trends to fit in,Streetwear,None,Price/Affordability,1,Multiple times a month,2500-5000,700-1500,1200-1800,Definitely yes,1,1,0,0,0,0,0,0,1.0,0,,0,0,1,1,0,1,0,0,,Not interested,Sometimes if it appeals,1,1,1,1,1.0,0,No but open,Quality/Wear and tear,Instagram/Reels,Easy returns,Reviews and tagged photos,Very confident,Yes regularly,Comfortable with it,Would subscribe immediately,Never,Interested
33,Aesthetic Chaser,18-22,Female,Metro,Student,25k-50k,Dress for comfort/practicality,Minimal / Clean girl,None,Peer recommendations,4,Once every 2-3 months,500-1000,Under 300,500-800,Likely yes,0,0,0,0,0,0,0,1,1.0,1,1.0,0,0,1,0,1,1,0,0,0.0,Interested if priced right,Prefer complete looks,1,1,0,0,0.0,0,No but open,No major concerns,WhatsApp drops,Unique pieces,COD/Easy return,Somewhat confident,Yes regularly,Yes would stop me,Prefer one-off,Rarely,Interested
34,Occasional Gifter,28-34,Female,Rural,Working professional,Below 10k,Dress for comfort/practicality,Formal / Classic,Y2K / Retro,Peer recommendations,3,Once a month,500-1000,700-1500,500-800,Probably not,0,0,1,0,1,1,1,1,0.0,0,1.0,0,1,0,1,0,0,1,0,1.0,Not interested,Prefer complete looks,1,1,1,1,0.0,1,No but open,Limited style options,Pop-up events,Sustainability,Clear size guide and photos,Somewhat confident,No,Yes would stop me,No interest,Yes occasionally,Not Interested
35,Skeptic,28-34,Female,Metro,Working professional,10k-25k,Dress for comfort/practicality,Dark academia,None,Celebrity/Influencer,2,Once every 2-3 months,500-1000,1500-3000,Would not buy,Probably not,1,1,0,1,0,0,0,0,1.0,1,0.0,0,0,0,1,1,1,1,0,1.0,Curious but unsure,Sometimes if it appeals,0,1,1,0,0.0,0,No but open,Social stigma,Word of mouth,Influencer wearing it,Follower count/Brand credibility,Unsure - it concerns me,Engage but rarely post,Comfortable with it,No interest,Rarely,Maybe
36,Fence-Sitter,28-34,Female,Tier 3 / Small town,Working professional,50k-1L,Follow trends to fit in,Minimal / Clean girl,None,Price/Affordability,4,Once every 2-3 months,1000-2500,300-700,800-1200,Likely yes,1,1,1,0,0,0,0,1,1.0,0,0.0,0,0,0,0,1,0,0,0,1.0,Not interested,Prefer complete looks,0,1,1,0,1.0,1,Yes a few times,Quality/Wear and tear,Pop-up events,Social proof,Reviews and tagged photos,Unsure - it concerns me,Occasionally,Yes would stop me,Prefer one-off,Rarely,Maybe
37,Conscious Spender,18-22,Female,Metro,Self-employed/Freelancer,Above 1L,Fashion as self-expression,Minimal / Clean girl,None,Peer recommendations,1,Multiple times a month,500-1000,1500-3000,800-1200,Definitely yes,0,1,0,1,1,0,0,0,1.0,1,0.0,0,0,0,1,1,1,0,0,1.0,Very interested,Prefer to mix myself,0,1,1,1,0.0,1,Yes a few times,No major concerns,Instagram/Reels,Sustainability,Clear size guide and photos,Somewhat confident,Occasionally,Comfortable with it,Maybe after first box,Yes occasionally,Interested
38,Aesthetic Chaser,18-22,Female,Metro,Student,10k-25k,Follow trends to fit in,Y2K / Retro,Streetwear,Price/Affordability,3,Multiple times a month,1000-2500,300-700,1200-1800,Probably not,1,1,0,1,0,0,0,0,0.0,1,0.0,1,0,1,1,0,1,0,0,0.0,Interested if priced right,Sometimes if it appeals,0,1,1,0,1.0,0,Yes a few times,Size availability,Pop-up events,Great curation,COD/Easy return,Somewhat confident,Engage but rarely post,Comfortable with it,Prefer one-off,Yes frequently,Interested
39,Bargain Hunter,23-27,Female,Tier 3 / Small town,Unemployed/Between jobs,Below 10k,Follow trends to fit in,Sporty / Athleisure,Cottagecore / Boho,Peer recommendations,2,Multiple times a month,2500-5000,700-1500,800-1200,Definitely yes,0,0,0,0,0,0,1,0,1.0,0,1.0,0,0,1,1,1,0,0,1,0.0,Interested if priced right,Sometimes if it appeals,0,1,1,1,1.0,1,Yes regularly,Size availability,WhatsApp drops,Low prices,Reviews and tagged photos,Somewhat confident,Engage but rarely post,Depends on price,Would subscribe immediately,Never,Interested
40,Conscious Spender,23-27,Female,Metro,Working professional,25k-50k,Buy what is affordable,Minimal / Clean girl,Streetwear,Sustainability,1,Once every 2-3 months,2500-5000,Above 3000,1200-1800,Unsure,0,0,1,1,1,0,0,0,1.0,1,0.0,0,0,0,1,1,1,0,0,0.0,Very interested,Sometimes if it appeals,0,0,1,1,0.0,0,Yes a few times,Hygiene/Cleanliness,Website/Online store,Unique pieces,Follower count/Brand credibility,Somewhat confident,Engage but rarely post,Yes would stop me,Prefer one-off,Yes occasionally,Interested
41,Aesthetic Chaser,23-27,Female,Metro,Student,10k-25k,Fashion as self-expression,Y2K / Retro,None,Price/Affordability,3,Once every 2-3 months,Above 5000,700-1500,1200-1800,Likely yes,1,1,0,0,1,0,0,1,0.0,0,0.0,0,0,1,0,0,1,1,1,1.0,Interested if priced right,Prefer to mix myself,1,1,0,1,1.0,0,Yes a few times,Hygiene/Cleanliness,Instagram/Reels,Great curation,Clear size guide and photos,Somewhat confident,Yes regularly,Comfortable with it,Prefer one-off,Yes frequently,Interested
42,Conscious Spender,23-27,Female,Tier 2,Self-employed/Freelancer,50k-1L,Avoid fast fashion actively,Cottagecore / Boho,Formal / Classic,Brand reputation,1,Once a month,2500-5000,1500-3000,800-1200,Probably not,1,0,1,0,0,0,0,0,0.0,1,1.0,0,1,1,0,0,1,1,0,0.0,Very interested,Prefer to mix myself,0,1,1,0,1.0,0,Yes a few times,Quality/Wear and tear,Website/Online store,Sustainability,Clear size guide and photos,Very confident,Engage but rarely post,Depends on price,Prefer one-off,Never,Interested
43,Aesthetic Chaser,18-22,Female,Metro,Working professional,10k-25k,Fashion as self-expression,Y2K / Retro,Formal / Classic,Social media trends,3,Multiple times a month,500-1000,700-1500,800-1200,Unsure,0,1,0,0,1,0,0,1,1.0,1,1.0,1,1,1,0,0,1,0,1,1.0,Interested if priced right,Prefer to mix myself,0,1,0,1,0.0,0,Yes regularly,Social stigma,Instagram/Reels,Low prices,Clear size guide and photos,Somewhat confident,No,Comfortable with it,Maybe after first box,Rarely,Interested
44,Occasional Gifter,23-27,Female,Tier 2,Working professional,Below 10k,Dress for comfort/practicality,Formal / Classic,Sporty / Athleisure,Price/Affordability,2,Multiple times a month,2500-5000,1500-3000,800-1200,Likely yes,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,1,1,0,0,0,0,0.0,Very interested,Sometimes if it appeals,1,1,1,1,1.0,1,No but open,Size availability,WhatsApp drops,Social proof,Reviews and tagged photos,Unsure - it concerns me,Yes regularly,Yes would stop me,Prefer one-off,Yes occasionally,Interested
45,Aesthetic Chaser,28-34,Female,Tier 3 / Small town,Student,Below 10k,Fashion as self-expression,Y2K / Retro,None,Sustainability,1,Few times a year,2500-5000,700-1500,500-800,Definitely yes,1,1,0,1,1,0,0,0,1.0,0,0.0,1,1,0,0,0,1,1,1,1.0,Very interested,Prefer complete looks,0,1,1,0,1.0,0,Yes regularly,Quality/Wear and tear,Website/Online store,Unique pieces,Clear size guide and photos,Somewhat confident,Engage but rarely post,Yes would stop me,Maybe after first box,Yes occasionally,Interested
46,Bargain Hunter,23-27,Female,Tier 2,Student,50k-1L,Follow trends to fit in,Sporty / Athleisure,Formal / Classic,Sustainability,3,Once every 2-3 months,1000-2500,700-1500,800-1200,Definitely yes,0,1,0,0,0,0,0,1,0.0,0,1.0,1,0,0,0,0,1,0,0,1.0,Interested if priced right,Prefer complete looks,0,1,1,0,0.0,0,Yes a few times,Size availability,Instagram/Reels,Low prices,COD/Easy return,Unsure - it concerns me,Occasionally,Comfortable with it,Prefer one-off,Never,Interested
47,Conscious Spender,28-34,Male,Metro,Student,25k-50k,Dress for comfort/practicality,Minimal / Clean girl,None,Price/Affordability,1,Once every 2-3 months,1000-2500,1500-3000,Under 500,Unsure,0,1,1,1,0,0,0,0,0.0,1,1.0,0,0,0,1,0,1,0,0,0.0,Very interested,Sometimes if it appeals,1,1,1,0,1.0,0,No but open,Hygiene/Cleanliness,Instagram/Reels,Great curation,Clear size guide and photos,Very confident,Occasionally,Makes me hesitate,No interest,Yes frequently,Interested
48,Bargain Hunter,23-27,Non-binary/Gender fluid,Metro,Student,25k-50k,Dress for comfort/practicality,Minimal / Clean girl,None,Brand reputation,4,Rarely,1000-2500,300-700,800-1200,Definitely yes,1,0,1,1,1,0,0,0,1.0,0,0.0,0,0,1,0,0,0,1,0,0.0,Curious but unsure,No preference,1,1,1,0,0.0,1,No but open,Quality/Wear and tear,WhatsApp drops,Sustainability,COD/Easy return,Somewhat confident,Engage but rarely post,Makes me hesitate,Maybe after first box,Never,Interested
49,Bargain Hunter,28-34,Female,Tier 3 / Small town,Self-employed/Freelancer,25k-50k,Follow trends to fit in,Formal / Classic,Sporty / Athleisure,Price/Affordability,1,Once a month,Under 500,Under 300,500-800,Likely yes,0,0,0,0,0,1,0,0,0.0,1,0.0,0,0,1,1,0,0,1,0,1.0,Curious but unsure,Prefer to mix myself,0,0,1,0,1.0,0,No but open,Size availability,Instagram/Reels,Easy returns,Reviews and tagged photos,Very confident,Engage but rarely post,Makes me hesitate,No interest,Yes occasionally,Maybe
50,Aesthetic Chaser,18-22,Female,Tier 2,Student,10k-25k,Fashion as self-expression,Cottagecore / Boho,None,Sustainability,2,Once every 2-3 months,2500-5000,1500-3000,800-1200,Unsure,0,1,0,0,1,0,0,0,1.0,1,0.0,0,0,1,1,1,1,0,0,0.0,Very interested,Sometimes if it appeals,1,0,1,0,1.0,0,Yes regularly,Hygiene/Cleanliness,WhatsApp drops,Sustainability,Clear size guide and photos,Somewhat confident,Engage but rarely post,Makes me hesitate,Prefer one-off,Rarely,Interested
51,Skeptic,28-34,Male,Metro,Self-employed/Freelancer,25k-50k,Follow trends to fit in,Sporty / Athleisure,None,Brand reputation,4,Once every 2-3 months,500-1000,700-1500,500-800,Likely yes,1,0,0,0,1,0,1,0,0.0,0,1.0,1,1,1,0,0,1,1,0,1.0,Interested if priced right,Sometimes if it appeals,1,1,0,1,0.0,0,No and unlikely,Social stigma,Word of mouth,Great curation,Follower count/Brand credibility,Unsure - it concerns me,No,Makes me hesitate,No interest,Never,Maybe
